Columna1,epoch,timestamp,learning_rate,loss,validation_IG,validation_LL,validation_AUC,validation_NSS,train_loss_Action,val_ig_Action,val_ll_Action,train_loss_Affective,val_ig_Affective,val_ll_Affective,train_loss_Art,val_ig_Art,val_ll_Art,train_loss_BlackWhite,val_ig_BlackWhite,val_ll_BlackWhite,train_loss_Cartoon,val_ig_Cartoon,val_ll_Cartoon,train_loss_Fractal,val_ig_Fractal,val_ll_Fractal,train_loss_Indoor,val_ig_Indoor,val_ll_Indoor,train_loss_Inverted,val_ig_Inverted,val_ll_Inverted,train_loss_Jumbled,val_ig_Jumbled,val_ll_Jumbled,train_loss_LineDrawing,val_ig_LineDrawing,val_ll_LineDrawing,train_loss_LowResolution,val_ig_LowResolution,val_ll_LowResolution,train_loss_Noisy,val_ig_Noisy,val_ll_Noisy,train_loss_Object,val_ig_Object,val_ll_Object,train_loss_OutdoorManMade,val_ig_OutdoorManMade,val_ll_OutdoorManMade,train_loss_OutdoorNatural,val_ig_OutdoorNatural,val_ll_OutdoorNatural,train_loss_Pattern,val_ig_Pattern,val_ll_Pattern,train_loss_Random,val_ig_Random,val_ll_Random,train_loss_Satelite,val_ig_Satelite,val_ll_Satelite,train_loss_Sketch,val_ig_Sketch,val_ll_Sketch,train_loss_Social,val_ig_Social,val_ll_Social
18,18,32:02.0,0.0001,4449.942377,-4477.320746,-4493.956952,0.867955399,2.053466761,4588.051837,-4529.063074,-4545.699304,4706.809769,-4729.457507,-4746.093738,4524.162274,-4741.280615,-4757.916846,4320.514185,-4339.259509,-4355.89574,4767.521442,-4984.192505,-5000.828735,4256.588959,-4262.612097,-4279.248328,4705.325311,-4895.727417,-4912.363647,4664.93446,-4721.536914,-4738.173145,4897.502026,-4869.104773,-4885.741003,4517.383276,-4506.508533,-4523.144763,3631.253577,-3784.089722,-3800.725952,3943.225134,-4129.215051,-4145.851282,4375.67229,-4519.065271,-4535.701501,4682.251373,-4557.770154,-4574.406384,4305.89043,-4350.569348,-4367.205579,4134.729495,-4042.043506,-4058.679736,4311.544827,-4257.798535,-4274.434766,4557.981964,-4355.237744,-4371.873975,4040.247281,-4015.038049,-4031.67428,5067.257629,-4956.844458,-4973.480688
19,19,45:07.9,0.0001,4447.879196,-4476.310233,-4492.946475,0.867993298,2.054458296,4582.883636,-4527.390405,-4544.026636,4702.371426,-4729.931372,-4746.567603,4523.597516,-4742.794971,-4759.431201,4320.665295,-4338.762537,-4355.398767,4764.949457,-4986.879883,-5003.516113,4256.471127,-4263.202393,-4279.838623,4704.068631,-4896.048877,-4912.685107,4663.160373,-4720.373584,-4737.009814,4893.279822,-4870.256641,-4886.892871,4517.578247,-4502.467908,-4519.104138,3627.718674,-3780.656628,-3797.292859,3941.741077,-4132.005896,-4148.642126,4373.318893,-4516.760974,-4533.397205,4680.9409,-4557.80946,-4574.445691,4302.601331,-4349.861865,-4366.498096,4132.188861,-4041.109705,-4057.745935,4309.939725,-4256.538123,-4273.174353,4556.057898,-4354.824878,-4371.461108,4038.466904,-4000.954968,-4017.591199,5065.584073,-4957.573755,-4974.209985
20,20,58:14.5,0.0001,4445.671894,-4477.535552,-4494.171783,0.867307861,2.049315768,4583.47652,-4529.209045,-4545.845276,4701.624606,-4732.823621,-4749.459851,4519.527179,-4746.210596,-4762.846826,4317.957095,-4339.224329,-4355.860559,4763.366174,-4987.036499,-5003.672729,4254.07326,-4260.470471,-4277.106702,4699.75448,-4896.654443,-4913.290674,4658.593372,-4719.962695,-4736.598926,4893.900818,-4867.583643,-4884.219873,4515.981668,-4503.970483,-4520.606714,3626.815155,-3780.541406,-3797.177637,3938.742337,-4129.538562,-4146.174792,4370.915509,-4514.645862,-4531.282092,4681.463452,-4559.20083,-4575.837061,4302.516104,-4351.485205,-4368.121436,4128.230081,-4047.19408,-4063.83031,4308.824338,-4256.693188,-4273.329419,4552.202979,-4358.729639,-4375.365869,4035.532489,-4010.65448,-4027.29071,5059.940286,-4958.882007,-4975.518237
21,21,11:21.1,0.0001,4443.995245,-4478.301392,-4494.937629,0.866932886,2.045571904,4579.555185,-4530.114026,-4546.750256,4697.844403,-4729.529749,-4746.165979,4520.70228,-4746.799194,-4763.435425,4316.590091,-4341.67478,-4358.311011,4759.447559,-4985.208154,-5001.844385,4251.488474,-4260.545129,-4277.18136,4702.156293,-4895.299817,-4911.936047,4658.240576,-4722.668652,-4739.304883,4888.641,-4873.035107,-4889.671338,4513.660526,-4504.875024,-4521.511255,3624.374402,-3785.080408,-3801.716638,3938.066693,-4133.656165,-4150.292395,4369.457025,-4518.47052,-4535.10675,4678.670181,-4559.223633,-4575.859863,4300.194498,-4348.542542,-4365.178772,4128.316812,-4044.567114,-4061.203345,4309.054611,-4258.403125,-4275.039355,4551.74624,-4353.572839,-4370.20907,4035.723618,-4011.879895,-4028.516125,5055.974277,-4962.881982,-4979.518213
22,22,24:26.9,0.0001,4441.766904,-4477.589781,-4494.226017,0.866524577,2.040633373,4575.423303,-4526.326489,-4542.96272,4695.314139,-4736.293323,-4752.929553,4520.258246,-4744.461096,-4761.097327,4312.536499,-4338.211414,-4354.847644,4757.399924,-4988.91001,-5005.54624,4249.24212,-4259.359167,-4275.995398,4700.764835,-4897.270093,-4913.906323,4656.640073,-4718.266016,-4734.902246,4884.624139,-4868.105908,-4884.742139,4514.693045,-4505.737878,-4522.374109,3624.151944,-3784.634656,-3801.270886,3936.22406,-4129.692004,-4146.328235,4365.669308,-4518.149597,-4534.785828,4677.841998,-4558.679504,-4575.315735,4298.369965,-4350.507776,-4367.144006,4129.398987,-4045.274878,-4061.911108,4304.059528,-4255.301147,-4271.937378,4546.779999,-4352.669507,-4369.305737,4032.323846,-4011.048877,-4027.685107,5053.622192,-4962.896338,-4979.532568
23,23,37:32.6,0.0001,4439.262214,-4477.806984,-4494.443214,0.866382108,2.036176745,4576.631091,-4528.006372,-4544.642603,4689.791302,-4730.971143,-4747.607373,4517.224545,-4747.063245,-4763.699475,4313.494476,-4337.449377,-4354.085608,4753.413629,-4984.494116,-5001.130347,4246.693817,-4262.365869,-4279.0021,4697.69101,-4893.578784,-4910.215015,4652.933752,-4721.058838,-4737.695068,4883.37019,-4871.237451,-4887.873682,4511.85412,-4505.619836,-4522.256067,3622.131116,-3783.948779,-3800.58501,3933.716324,-4130.681909,-4147.31814,4363.856503,-4518.164282,-4534.800513,4674.946616,-4562.011536,-4578.647766,4295.250009,-4351.853601,-4368.489832,4123.840036,-4047.055933,-4063.692163,4304.593631,-4257.035901,-4273.672131,4546.207327,-4355.064709,-4371.70094,4030.496582,-4010.105249,-4026.741479,5047.108145,-4958.372656,-4975.008887
24,24,50:38.6,0.0001,4437.572355,-4477.457526,-4494.093784,0.866490416,2.034431222,4574.486792,-4530.572241,-4547.208472,4690.208148,-4738.626489,-4755.26272,4513.967627,-4749.111951,-4765.748181,4311.717996,-4341.903064,-4358.539294,4750.796454,-4981.794995,-4998.431226,4245.345346,-4262.288464,-4278.924695,4696.310428,-4897.185229,-4913.82146,4651.243155,-4720.807129,-4737.443359,4882.784006,-4868.292896,-4884.929126,4509.964838,-4501.916833,-4518.553064,3619.456094,-3779.789136,-3796.425366,3933.565866,-4128.327246,-4144.963477,4361.142377,-4511.690234,-4528.326465,4675.007626,-4560.529089,-4577.16532,4289.906876,-4351.76554,-4368.40177,4124.431531,-4044.52738,-4061.163611,4302.293146,-4256.470142,-4273.106372,4545.364124,-4355.388635,-4372.024866,4029.81936,-4005.521765,-4022.157996,5043.635406,-4962.642358,-4979.278589
25,25,03:45.3,1.00E-05,4436.400694,-4478.093105,-4494.729346,0.866046962,2.028698376,4572.989572,-4530.316577,-4546.952808,4687.898251,-4739.087061,-4755.723291,4512.781067,-4746.112915,-4762.749146,4309.960248,-4339.632983,-4356.269214,4751.564688,-4977.210181,-4993.846411,4245.536835,-4262.636157,-4279.272388,4696.112976,-4896.474036,-4913.110266,4645.7995,-4719.426416,-4736.062646,4881.413504,-4871.082666,-4887.718896,4510.215228,-4507.82854,-4524.464771,3619.987793,-3780.654333,-3797.290564,3932.309598,-4130.177991,-4146.814221,4356.801434,-4512.535022,-4529.171252,4673.867035,-4563.090771,-4579.727002,4290.480771,-4348.965845,-4365.602075,4124.23465,-4040.304883,-4056.941113,4300.67428,-4257.818323,-4274.454553,4542.011417,-4355.130591,-4371.766821,4029.57334,-4014.732605,-4031.368835,5043.801611,-4968.644312,-4985.280542
26,26,16:54.8,1.00E-05,4432.121136,-4477.921779,-4494.557992,0.865924424,2.028823076,4567.389575,-4532.349792,-4548.986023,4681.436819,-4736.567773,-4753.204004,4509.579178,-4746.717395,-4763.353625,4307.156021,-4342.45105,-4359.08728,4742.577493,-4979.506299,-4996.142529,4241.455106,-4261.991455,-4278.627686,4690.091415,-4898.988171,-4915.624402,4643.346902,-4721.297876,-4737.934106,4875.558099,-4875.158875,-4891.795105,4508.176154,-4502.802368,-4519.438599,3616.91965,-3782.161768,-3798.797998,3928.791345,-4132.922095,-4149.558325,4354.352286,-4513.35155,-4529.987781,4670.760944,-4559.57594,-4576.21217,4288.427328,-4348.90144,-4365.537671,4119.998804,-4036.864136,-4053.500366,4295.140668,-4258.855811,-4275.492041,4539.159003,-4355.135962,-4371.772192,4025.498163,-4008.345264,-4024.981494,5036.607718,-4964.490308,-4981.126538
27,27,30:01.3,1.00E-05,4430.629925,-4478.417695,-4495.053971,0.865868441,2.021937311,4563.60961,-4529.663635,-4546.299866,4680.194601,-4735.133789,-4751.77002,4508.413687,-4748.223352,-4764.859583,4306.012473,-4339.244202,-4355.880432,4740.497266,-4981.333423,-4997.969653,4241.324188,-4261.797949,-4278.43418,4687.576682,-4896.725208,-4913.361438,4641.391043,-4719.824683,-4736.460913,4874.281891,-4871.661841,-4888.298071,4507.403326,-4508.646765,-4525.282996,3615.017792,-3782.581775,-3799.218005,3927.826105,-4134.776355,-4151.412585,4355.194302,-4517.148193,-4533.784424,4667.508771,-4560.616687,-4577.252917,4286.469901,-4349.471997,-4366.108228,4121.223215,-4039.681104,-4056.317334,4291.150772,-4259.910754,-4276.546985,4539.549817,-4355.820056,-4372.456287,4023.866229,-4012.455554,-4029.091785,5034.086676,-4963.636938,-4980.273169
28,28,43:15.4,1.00E-05,4430.441966,-4477.48568,-4494.121904,0.865904732,2.02999045,4566.282971,-4529.956946,-4546.593176,4678.228799,-4735.721448,-4752.357678,4509.431982,-4747.120435,-4763.756665,4304.760294,-4339.563306,-4356.199536,4738.943024,-4983.669336,-5000.305566,4241.92868,-4261.48584,-4278.12207,4689.172394,-4896.530249,-4913.166479,4642.664578,-4720.417261,-4737.053491,4875.280264,-4872.916772,-4889.553003,4505.206671,-4500.923901,-4517.560132,3616.205038,-3783.139172,-3799.775403,3926.816486,-4131.50697,-4148.143201,4352.546613,-4516.272668,-4532.908899,4669.95282,-4560.228455,-4576.864685,4286.120602,-4348.177405,-4364.813635,4118.024789,-4039.043994,-4055.680225,4291.904382,-4260.000488,-4276.636719,4538.736703,-4354.383801,-4371.020032,4022.662253,-4010.040369,-4026.676599,5033.970001,-4958.614673,-4975.250903
29,29,56:21.3,1.00E-05,4429.848219,-4478.93776,-4495.574,0.865715593,2.022084479,4565.462271,-4530.445984,-4547.082214,4678.650098,-4733.606091,-4750.242322,4508.29501,-4747.863403,-4764.499634,4301.660706,-4339.793884,-4356.430115,4738.941772,-4982.808154,-4999.444385,4239.383163,-4261.200476,-4277.836707,4686.806821,-4898.178418,-4914.814648,4642.669458,-4720.992529,-4737.62876,4874.446753,-4870.834131,-4887.470361,4506.764676,-4511.90033,-4528.53656,3615.184583,-3781.851514,-3798.487744,3926.911441,-4133.086853,-4149.723083,4353.453763,-4518.676392,-4535.312622,4669.034177,-4562.020178,-4578.656409,4284.519641,-4349.910413,-4366.546643,4119.016867,-4039.198413,-4055.834644,4292.146497,-4259.747363,-4276.383594,4538.146542,-4354.689429,-4371.325659,4023.066956,-4019.330676,-4035.966907,5032.403314,-4962.62063,-4979.25686
30,30,09:27.0,1.00E-05,4429.806864,-4478.338647,-4494.974891,0.86567677,2.023574046,4563.073849,-4524.53374,-4541.169971,4680.897812,-4734.552844,-4751.189075,4506.640289,-4748.653259,-4765.28949,4303.445126,-4340.442957,-4357.079187,4738.042099,-4979.050488,-4995.686719,4241.345663,-4262.478113,-4279.114343,4686.836426,-4898.108545,-4914.744775,4642.580966,-4721.049146,-4737.685376,4873.123291,-4870.746509,-4887.382739,4505.966541,-4511.503723,-4528.139954,3615.785889,-3781.352625,-3797.988855,3927.889389,-4132.27572,-4148.911951,4351.799384,-4515.817505,-4532.453735,4668.144827,-4560.403625,-4577.039856,4284.791949,-4349.348096,-4365.984326,4120.83056,-4040.853003,-4057.489233,4293.425916,-4256.993921,-4273.630151,4536.490292,-4356.004822,-4372.641052,4022.918884,-4015.8703,-4032.506531,5032.108252,-4966.734058,-4983.370288
31,31,22:32.6,1.00E-06,4428.977779,-4478.477834,-4495.114066,0.865698343,2.022985699,4562.795801,-4531.494849,-4548.131079,4680.252643,-4735.70647,-4752.3427,4507.105283,-4748.309998,-4764.946228,4301.537769,-4340.67948,-4357.31571,4736.585211,-4982.17688,-4998.81311,4239.559845,-4262.350842,-4278.987073,4686.403525,-4899.322266,-4915.958496,4641.221857,-4720.395898,-4737.032129,4873.320255,-4872.539783,-4889.176013,4504.44006,-4506.4521,-4523.08833,3614.63038,-3781.001917,-3797.638147,3926.240881,-4132.09137,-4148.7276,4352.012909,-4518.340295,-4534.976526,4667.971503,-4560.023572,-4576.659802,4283.694308,-4348.989539,-4365.625769,4118.276932,-4040.954492,-4057.590723,4291.073724,-4257.686853,-4274.323083,4537.458765,-4355.342407,-4371.978638,4022.973419,-4011.422437,-4028.058667,5032.000439,-4964.275391,-4980.911621
32,32,35:38.5,1.00E-06,4428.865785,-4478.074133,-4494.710313,0.865860957,2.022719145,4563.863046,-4525.9255,-4542.561731,4677.06987,-4731.02832,-4747.664551,4505.106744,-4748.206055,-4764.842285,4301.464883,-4338.474036,-4355.110266,4736.722449,-4980.849902,-4997.486133,4239.995218,-4261.631335,-4278.267566,4686.670486,-4896.568896,-4913.205127,4640.322849,-4720.758423,-4737.394653,4872.171103,-4872.813916,-4889.450146,4503.947263,-4509.501526,-4526.137756,3615.990997,-3781.894531,-3798.530762,3925.971796,-4133.516504,-4150.152734,4352.500922,-4520.472375,-4537.108606,4667.041956,-4559.385547,-4576.021777,4285.324484,-4350.152014,-4366.788245,4118.711475,-4037.880408,-4054.516638,4292.269171,-4257.274438,-4273.910669,4536.12533,-4354.710547,-4371.346777,4023.178122,-4018.883105,-4035.519336,5032.867401,-4961.554736,-4978.190967
33,33,48:44.2,1.00E-06,4429.103071,-4477.944016,-4494.580259,0.865775146,2.027575336,4563.939481,-4530.526941,-4547.163171,4676.603796,-4734.575806,-4751.212036,4506.409885,-4748.28833,-4764.924561,4302.457156,-4340.96355,-4357.59978,4736.045856,-4981.214307,-4997.850537,4240.836679,-4262.225671,-4278.861902,4688.29559,-4896.380701,-4913.016931,4641.810574,-4720.532813,-4737.169043,4873.331018,-4873.17312,-4889.809351,4505.305118,-4505.991577,-4522.627808,3615.805786,-3781.101489,-3797.73772,3925.786865,-4131.744653,-4148.380884,4350.911096,-4517.327124,-4533.963354,4667.284189,-4560.825635,-4577.461865,4284.492212,-4350.062073,-4366.698303,4120.067282,-4037.952148,-4054.588379,4292.281955,-4258.25387,-4274.8901,4535.630255,-4355.464551,-4372.100781,4022.020203,-4008.870532,-4025.506763,5032.746353,-4963.405518,-4980.041748
34,34,01:56.3,1.00E-06,4428.43802,-4478.906548,-4495.542777,0.865682523,2.022858237,4562.185608,-4529.13313,-4545.76936,4676.865195,-4737.367053,-4754.003284,4507.110562,-4747.1297,-4763.76593,4302.454208,-4339.664795,-4356.301025,4736.726651,-4979.136255,-4995.772485,4239.204144,-4262.703369,-4279.3396,4686.375458,-4900.540466,-4917.176697,4639.687509,-4721.258813,-4737.895044,4872.715366,-4874.144702,-4890.780933,4502.879453,-4507.923535,-4524.559766,3614.028922,-3781.704211,-3798.340442,3928.172324,-4133.442029,-4150.078259,4351.821259,-4519.412866,-4536.049097,4667.500256,-4561.971521,-4578.607751,4284.462454,-4350.474255,-4367.110486,4118.521701,-4037.143054,-4053.779285,4290.383298,-4258.191711,-4274.827942,4535.723575,-4356.729065,-4373.365295,4021.632242,-4010.64082,-4027.277051,5030.310172,-4969.419629,-4986.055859
35,35,15:02.2,1.00E-06,4428.518805,-4479.317349,-4495.953552,0.865418875,2.022008854,4562.515359,-4531.86344,-4548.49967,4676.798486,-4736.556775,-4753.193005,4506.361929,-4749.422314,-4766.058545,4302.537076,-4341.762219,-4358.39845,4736.089828,-4986.943433,-5003.579663,4239.104852,-4262.28916,-4278.925391,4687.036707,-4900.988745,-4917.624976,4641.486328,-4720.485986,-4737.122217,4872.908524,-4874.656445,-4891.292676,4504.162128,-4508.211011,-4524.847241,3613.503625,-3781.459167,-3798.095398,3928.041718,-4129.684863,-4146.321094,4351.342459,-4521.517407,-4538.153638,4666.443896,-4562.130359,-4578.766589,4282.687473,-4350.7578,-4367.394031,4119.144022,-4038.773828,-4055.410059,4290.156348,-4259.207129,-4275.843359,4535.962482,-4356.489111,-4373.125342,4023.350894,-4011.454773,-4028.091003,5030.742047,-4961.692725,-4978.328955
36,36,28:07.9,1.00E-06,4428.760504,-4479.429517,-4496.065751,0.865301081,2.020386906,4562.731396,-4531.382312,-4548.018542,4677.18793,-4737.4151,-4754.051331,4505.291217,-4748.537,-4765.17323,4301.542001,-4343.594385,-4360.230615,4736.369537,-4988.871045,-5005.507275,4241.3577,-4262.369775,-4279.006006,4686.497333,-4901.228027,-4917.864258,4640.448782,-4721.065771,-4737.702002,4872.976065,-4874.264319,-4890.900549,4507.214676,-4503.915613,-4520.551843,3614.852203,-3783.332373,-3799.968604,3927.041461,-4131.627942,-4148.264172,4351.749734,-4518.800037,-4535.436267,4669.802295,-4560.868481,-4577.504712,4283.228287,-4351.881079,-4368.51731,4118.762576,-4041.662366,-4058.298596,4290.538925,-4260.139453,-4276.775684,4534.233319,-4356.778748,-4373.414978,4022.813321,-4008.587854,-4025.224084,5030.571368,-4962.268726,-4978.904956
37,37,41:13.8,1.00E-07,4428.479272,-4478.566188,-4495.202393,0.865591412,2.022213774,4561.950735,-4529.551794,-4546.188025,4675.733014,-4734.429688,-4751.065918,4505.308939,-4747.073474,-4763.709705,4302.565128,-4341.559302,-4358.195532,4737.073584,-4982.783862,-4999.420093,4240.232623,-4262.323926,-4278.960156,4687.895071,-4896.049597,-4912.685828,4639.005615,-4720.262036,-4736.898267,4874.757834,-4870.713623,-4887.349854,4504.7841,-4508.012646,-4524.648877,3614.996542,-3781.775232,-3798.411462,3925.844815,-4133.251611,-4149.887842,4350.873932,-4522.158984,-4538.795215,4666.975623,-4561.325293,-4577.961523,4282.776843,-4349.258057,-4365.894287,4118.694516,-4038.824915,-4055.461145,4290.619162,-4257.892627,-4274.528857,4536.01788,-4354.867859,-4371.504089,4022.530823,-4016.713367,-4033.349597,5030.948618,-4962.495654,-4979.131885
